player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
Wendell,BRA,26,Bundesliga,7500000,0.09,7,6.35,,
Yevgen Shakhov,UKR,28,Serie A,1500000,0.25,3,6.48,,
Albert Lottin,FRA,17,Ligue 1,45000,0.0,0,6.32,,
Henrikh Mkhitaryan,ARM,30,Premier League,20000000,0.0,1,6.55,,
Lorenzo Andrenacci,ITA,24,Serie A,10000,0.0,0,6.66,,
Juan PĂ©rez,ESP,23,La Liga,40000,0.0,0,6.02,,
Roland Sallai,HUN,22,Bundesliga,3000000,0.15,2,6.55,,
Kevin Lasagna,ITA,26,Serie A,5000000,0.3899999999999999,1,6.28,,
Joel Pohjanpalo,FIN,24,Bundesliga,80000,0.0,0,6.94,,
Guilherme Arana,BRA,22,Serie A,2000000,0.0,0,6.08,,
Nikolas Ĺ palek,SVK,22,Serie A,2000000,0.1699999999999999,5,6.86,,
Giangiacomo Magnani,ITA,23,Serie A,3000000,0.0,2,6.51,,
Samuel Fridjonsson,ISL,23,Bundesliga,400,0.0,1,6.99,,
Jasper Cillessen,NED,30,La Liga,14000000,0.04,1,6.97,,
Domenico Berardi,ITA,24,Serie A,19000000,0.87,7,9.0,,
Memphis Depay,NED,25,Ligue 1,44000000,0.98,0,6.92,,
Biagio Meccariello,ITA,28,Serie A,55000,0.12,2,6.67,,
Chris Mepham,WAL,21,Premier League,8000000,0.1,1,7.02,,
Adama TraorĂ©,MLI,24,Ligue 1,25000000,0.4499999999999999,1,5.47,,
Igor,BRA,21,Serie A,5000000,0.07,7,6.16,,
Moussa WaguĂ©,SEN,20,La Liga,6000000,0.0,0,6.26,,
Andreas Luthe,GER,32,Bundesliga,40000,0.0,0,6.55,,
Alberto Paloschi,ITA,29,Serie A,1000000,0.0,0,6.53,,
Kingsley Ehizibue,NED,24,Bundesliga,2000000,0.08,7,6.21,,
Ă“scar de Marcos,ESP,30,La Liga,3000000,0.17,1,6.6,,
Gerzino Nyamsi,FRA,22,Ligue 1,1000000,0.0,0,6.16,,
Lamine KonĂ©,CIV,30,Ligue 1,2000000,0.06,4,6.51,,
JoaquĂ­n FernĂˇndez,ESP,23,La Liga,2000000,0.11,9,6.51,,
Philipp Bargfrede,GER,30,Bundesliga,1000000,0.0,4,6.53,,
JoĂ«l Matip,CMR,27,Premier League,32000000,0.13,0,6.91,,
Kenedy,BRA,23,La Liga,10000000,0.61,2,6.17,,
Jadon Sancho,ENG,19,Bundesliga,117000000,1.3,2,7.37,,
Stefano Okaka,ITA,29,Serie A,3000000,0.37,10,6.39,,
Joshua Kimmich,GER,24,Bundesliga,64000000,0.35,7,7.4,,
Nianzou Kouassi,FRA,17,Ligue 1,11000000,0.4,1,6.91,,
Can Bozdogan,GER,18,Bundesliga,2500000,0.0,3,6.3,,
Moritz Leitner,GER,26,Premier League,2000000,0.0,1,6.05,,
Hannes Wolf,AUT,20,Bundesliga,11000000,0.0,0,6.31,,
Manuel SĂˇnchez,ESP,18,La Liga,8000000,0.0,1,6.74,,
Eric GarcĂ­a,ESP,18,Premier League,6000000,0.0,1,6.4,,
Fabio Borini,ITA,28,Serie A,4000000,0.33,2,7.04,,
Fran MĂ©rida,ESP,29,La Liga,1000000,0.08,10,6.04,,
Kalifa Coulibaly,MLI,27,Ligue 1,4000000,0.22,1,6.82,,
Tariq Lamptey,ENG,18,Premier League,3000000,0.15,2,6.76,,
Niclas Thiede,GER,20,Bundesliga,20000,0.0,0,5.98,,
Nacho,ESP,30,La Liga,2500000,0.1,2,6.43,,
Rafael,BRA,29,Ligue 1,5000000,0.0,3,6.7,,
Ravel Morrison,JAM,26,Premier League,60000,0.0,0,9.0,,
Ronald AraĂşjo,URU,20,La Liga,4000000,0.0,1,6.61,,
Fabio Quagliarella,ITA,36,Serie A,1000000,0.56,2,5.69,,
Riccardo Saponara,ITA,27,Serie A,2000000,0.5700000000000001,2,5.91,,
Carles AleĂ±Ăˇ,ESP,21,La Liga,18000000,0.12,1,6.41,,
Kevin VĂˇzquez,ESP,26,La Liga,80000,0.0,6,6.35,,
Patrick Cutrone,ITA,21,Serie A,15000000,0.54,1,6.25,,
Ryan Bertrand,ENG,29,Premier League,10000000,0.06,4,6.57,,
Juan Musso,ARG,25,Serie A,12000000,0.0,1,5.97,,
Yacine Adli,FRA,19,Ligue 1,6000000,0.52,3,6.16,,
Giangiacomo Magnani,ITA,23,Serie A,3000000,0.62,1,6.61,,
Marco Reus,GER,30,Bundesliga,32000000,0.96,1,6.07,,
Anthony Caci,FRA,22,Ligue 1,3000000,0.65,0,5.71,,
Cristiano Ronaldo,POR,34,Serie A,60000000,1.11,3,6.58,,
Nico Elvedi,SUI,22,Bundesliga,28000000,0.03,5,6.58,,
Lucas Torreira,URU,23,Premier League,36000000,0.12,7,6.4,,
Myziane Maolida,FRA,20,Ligue 1,7000000,0.4,0,6.44,,
Lovre KaliniÄ‡,CRO,29,Ligue 1,2800000,0.0,0,6.28,,
Matteo Lovato,ITA,19,Serie A,15000,0.0,0,6.38,,
Luke Freeman,ENG,27,Premier League,2000000,0.0,2,6.22,,
Salvatore Sirigu,ITA,32,Serie A,6000000,0.0,4,6.27,,
Mahdi Camara,FRA,21,Ligue 1,1000000,0.0,3,6.51,,
Iago,BRA,22,Bundesliga,6500000,0.26,0,6.18,,
Stephan Lichtsteiner,SUI,35,Bundesliga,80000,0.07,6,6.76,,
Dimitri Bisoli,ITA,25,Serie A,2000000,0.08,6,6.19,,
Valter Birsa,SVN,32,Serie A,1000000,0.0,1,6.91,,
BjĂ¶rn Engels,BEL,24,Premier League,9000000,0.06,1,6.24,,
