player,nationality,age,league,market_value_eur,score_contrib_per90,cards_2019_20,avg_match_rating,injury_days_total,married
Haitam Aleesami,NOR,28,Ligue 1,1000000,0.1,4,,,
Markus Schubert,GER,21,Bundesliga,1000000,0.0,0,,,
AdriĂˇn Ramos,COL,33,La Liga,80000,0.0,0,,,
Valentino Lazaro,AUT,23,Premier League,15000000,0.19,1,,,
Edimilson Fernandes,SUI,23,Bundesliga,5000000,0.06,8,,,
David Zurutuza,ESP,33,La Liga,1000000,0.0,0,,,
Deyverson,BRA,28,La Liga,3000000,0.44,2,,,
Moussa WaguĂ©,SEN,20,Ligue 1,6000000,0.9,0,,,
Farid El Melali,ALG,22,Ligue 1,1000000,0.88,0,,,
Max Aarons,ENG,19,Premier League,20000000,0.03,7,,,
Jessic Ngankam,GER,19,Bundesliga,30000,1.06,0,,,
Lyle Foster,RSA,18,Ligue 1,1000000,0.0,0,,,
Denis SuĂˇrez,ESP,25,La Liga,9000000,0.34,2,,,
Jordan Henderson,ENG,29,Premier League,28000000,0.36,2,,,
Reece Oxford,ENG,20,Bundesliga,2000000,0.0,0,,,
Dan Gosling,ENG,29,Premier League,2000000,0.28,3,,,
Ihsan Sacko,FRA,22,Ligue 1,1000000,0.0,0,,,
Danny Drinkwater,ENG,29,Premier League,4000000,0.0,1,,,
Kaan Ayhan,TUR,24,Bundesliga,7000000,0.17,10,,,
Esteban Granero,ESP,32,La Liga,2000000,0.19,5,,,
GerĂłnimo Rulli,ARG,27,Ligue 1,5000000,0.0,0,,,
Aritz Aduriz,ESP,38,La Liga,800,0.43,3,,,
Pablo Martinez,FRA,30,Ligue 1,2000000,0.12,6,,,
Ă“scar Duarte,CRC,30,La Liga,72500,0.0,0,,,
Junior Firpo,ESP,22,La Liga,14000000,0.18,5,,,
Karim Benzema,FRA,31,La Liga,32000000,0.83,0,,,
Renato Sanches,POR,21,Ligue 1,16000000,0.24,3,,,
Jonathan Silva,ARG,25,La Liga,3000000,0.09,14,,,
Yann M'Vila,FRA,29,Ligue 1,6000000,0.09,1,,,
Wes Morgan,JAM,35,Premier League,1000000,0.0,0,,,
Lukas Klostermann,GER,23,Bundesliga,28000000,0.13,1,,,
Ozan Kabak,TUR,19,Bundesliga,29000000,0.2,4,,,
